sepal_length,sepal_width,petal_length,petal_width,species
0,5.1,3.5,1.4,0.2,1
1,4.9,3.0,1.4,0.2,1
2,4.7,3.2,1.3,0.2,1
3,4.6,3.1,1.5,0.2,1
4,5.0,3.6,1.4,0.2,1
5,5.4,3.9,1.7,0.4,1
6,4.6,3.4,1.4,0.3,1
7,5.0,3.4,1.5,0.2,1
8,4.4,2.9,1.4,0.2,1
9,4.9,3.1,1.5,0.1,1
10,5.4,3.7,1.5,0.2,1
11,4.8,3.4,1.6,0.2,1
12,4.8,3.0,1.4,0.1,1
13,4.3,3.0,1.1,0.1,1
14,5.8,4.0,1.2,0.2,1
15,5.7,4.4,1.5,0.4,1
16,5.4,3.9,1.3,0.4,1
17,5.1,3.5,1.4,0.3,1
18,5.7,3.8,1.7,0.3,1
19,5.1,3.8,1.5,0.3,1
20,5.4,3.4,1.7,0.2,1
21,5.1,3.7,1.5,0.4,1
22,4.6,3.6,1.0,0.2,1
23,5.1,3.3,1.7,0.5,1
24,4.8,3.4,1.9,0.2,1
25,5.0,3.0,1.6,0.2,1
26,5.0,3.4,1.6,0.4,1
27,5.2,3.5,1.5,0.2,1
28,5.2,3.4,1.4,0.2,1
29,4.7,3.2,1.6,0.2,1
30,4.8,3.1,1.6,0.2,1
31,5.4,3.4,1.5,0.4,1
32,5.2,4.1,1.5,0.1,1
33,5.5,4.2,1.4,0.2,1
34,4.9,3.1,1.5,0.1,1
35,5.0,3.2,1.2,0.2,1
36,5.5,3.5,1.3,0.2,1
37,4.9,3.1,1.5,0.1,1
38,4.4,3.0,1.3,0.2,1
39,5.1,3.4,1.5,0.2,1
40,5.0,3.5,1.3,0.3,1
41,4.5,2.3,1.3,0.3,1
42,4.4,3.2,1.3,0.2,1
43,5.0,3.5,1.6,0.6,1
44,5.1,3.8,1.9,0.4,1
45,4.8,3.0,1.4,0.3,1
46,5.1,3.8,1.6,0.2,1
47,4.6,3.2,1.4,0.2,1
48,5.3,3.7,1.5,0.2,1
49,5.0,3.3,1.4,0.2,1

