sepal_length,sepal_width,petal_length,petal_width,species
100,6.3,3.3,6.0,2.5,1
101,5.8,2.7,5.1,1.9,1
102,7.1,3.0,5.9,2.1,1
103,6.3,2.9,5.6,1.8,1
104,6.5,3.0,5.8,2.2,1
105,7.6,3.0,6.6,2.1,1
106,4.9,2.5,4.5,1.7,1
107,7.3,2.9,6.3,1.8,1
108,6.7,2.5,5.8,1.8,1
109,7.2,3.6,6.1,2.5,1
110,6.5,3.2,5.1,2.0,1
111,6.4,2.7,5.3,1.9,1
112,6.8,3.0,5.5,2.1,1
113,5.7,2.5,5.0,2.0,1
114,5.8,2.8,5.1,2.4,1
115,6.4,3.2,5.3,2.3,1
116,6.5,3.0,5.5,1.8,1
117,7.7,3.8,6.7,2.2,1
118,7.7,2.6,6.9,2.3,1
119,6.0,2.2,5.0,1.5,1
120,6.9,3.2,5.7,2.3,1
121,5.6,2.8,4.9,2.0,1
122,7.7,2.8,6.7,2.0,1
123,6.3,2.7,4.9,1.8,1
124,6.7,3.3,5.7,2.1,1
125,7.2,3.2,6.0,1.8,1
126,6.2,2.8,4.8,1.8,1
127,6.1,3.0,4.9,1.8,1
128,6.4,2.8,5.6,2.1,1
129,7.2,3.0,5.8,1.6,1
130,7.4,2.8,6.1,1.9,1
131,7.9,3.8,6.4,2.0,1
132,6.4,2.8,5.6,2.2,1
133,6.3,2.8,5.1,1.5,1
134,6.1,2.6,5.6,1.4,1
135,7.7,3.0,6.1,2.3,1
136,6.3,3.4,5.6,2.4,1
137,6.4,3.1,5.5,1.8,1
138,6.0,3.0,4.8,1.8,1
139,6.9,3.1,5.4,2.1,1
140,6.7,3.1,5.6,2.4,1
141,6.9,3.1,5.1,2.3,1
142,5.8,2.7,5.1,1.9,1
143,6.8,3.2,5.9,2.3,1
144,6.7,3.3,5.7,2.5,1
145,6.7,3.0,5.2,2.3,1
146,6.3,2.5,5.0,1.9,1
147,6.5,3.0,5.2,2.0,1
148,6.2,3.4,5.4,2.3,1
149,5.9,3.0,5.1,1.8,1
